filename,width,height,class,xmin,ymin,xmax,ymax
000146.jpg,374,500,person,155,208,252,408
000218.jpg,500,333,person,1,1,253,222
000032.jpg,500,281,person,195,180,213,229
000032.jpg,500,281,person,26,189,44,238
000967.jpg,500,375,person,419,233,468,372
000967.jpg,500,375,person,148,222,205,375
000967.jpg,500,375,person,161,241,231,375
000967.jpg,500,375,person,12,223,39,330
000797.jpg,500,375,person,68,94,424,370
000782.jpg,330,500,person,95,361,139,422
000999.jpg,375,500,person,2,16,280,500
000806.jpg,333,500,person,119,275,333,500
000806.jpg,333,500,person,1,298,106,500
000812.jpg,500,333,person,149,33,360,333
000810.jpg,500,375,person,151,13,498,375
000192.jpg,500,375,person,116,64,356,375
000435.jpg,500,332,person,235,75,300,275
000555.jpg,500,375,person,266,63,332,181
000555.jpg,500,375,person,160,179,422,374
000555.jpg,500,375,person,1,174,186,374
000555.jpg,500,375,person,61,90,213,255
000555.jpg,500,375,person,157,79,261,217
000555.jpg,500,375,person,380,92,499,217
000971.jpg,500,375,person,324,185,344,241
000971.jpg,500,375,person,344,190,371,249
000971.jpg,500,375,person,364,188,385,246
000971.jpg,500,375,person,392,193,410,230
000971.jpg,500,375,person,387,156,500,375
000971.jpg,500,375,person,72,194,89,240
000971.jpg,500,375,person,1,202,34,327
000971.jpg,500,375,person,37,211,61,251
000971.jpg,500,375,person,19,196,43,272
000742.jpg,500,338,person,212,99,296,253
000030.jpg,500,375,person,51,160,150,292
000030.jpg,500,375,person,295,138,450,290
000597.jpg,500,375,person,310,163,356,220
000597.jpg,500,375,person,459,168,497,208
000597.jpg,500,375,person,386,177,465,314
000232.jpg,500,375,person,230,32,252,93
000554.jpg,500,375,person,118,77,260,304
000352.jpg,500,375,person,33,68,149,247
000352.jpg,500,375,person,131,68,210,249
000352.jpg,500,375,person,198,59,309,284
000352.jpg,500,375,person,294,83,500,375
000193.jpg,500,375,person,80,4,500,375
000193.jpg,500,375,person,1,29,227,375
000805.jpg,375,500,person,308,85,375,214
000150.jpg,500,333,person,353,54,379,108
000150.jpg,500,333,person,415,51,436,109
000626.jpg,500,400,person,141,23,313,298
000829.jpg,500,375,person,468,315,492,351
000222.jpg,500,375,person,250,237,362,375
000222.jpg,500,375,person,114,236,227,375
000222.jpg,500,375,person,341,149,376,216
000222.jpg,500,375,person,158,191,185,221
000222.jpg,500,375,person,159,177,206,230
000222.jpg,500,375,person,252,178,311,228
000222.jpg,500,375,person,291,193,332,241
000222.jpg,500,375,person,318,209,373,330
000222.jpg,500,375,person,100,206,170,342
000222.jpg,500,375,person,444,283,500,375
000752.jpg,500,332,person,225,118,500,319
000752.jpg,500,332,person,1,119,125,332
000949.jpg,340,500,person,145,36,328,412
000949.jpg,340,500,person,1,48,159,393
000948.jpg,500,375,person,198,89,315,353
000021.jpg,336,500,person,210,36,336,482
000021.jpg,336,500,person,46,82,170,365
000021.jpg,336,500,person,11,181,142,419
000035.jpg,500,375,person,1,96,191,361
000035.jpg,500,375,person,218,98,465,318
000753.jpg,500,375,person,263,99,352,227
000753.jpg,500,375,person,334,105,430,254
000753.jpg,500,375,person,351,99,500,373
000753.jpg,500,375,person,128,101,192,214
000753.jpg,500,375,person,55,108,189,373
000579.jpg,500,332,person,315,123,389,259
000579.jpg,500,332,person,333,126,415,271
000545.jpg,375,500,person,148,146,269,500
000545.jpg,375,500,person,287,173,330,250
000545.jpg,375,500,person,315,172,336,249
000545.jpg,375,500,person,144,174,171,244
000545.jpg,375,500,person,123,174,136,200
000545.jpg,375,500,person,50,174,63,206
000394.jpg,500,375,person,29,85,253,375
000394.jpg,500,375,person,1,23,344,307
000394.jpg,500,375,person,439,25,483,71
000419.jpg,500,375,person,2,16,41,221
000419.jpg,500,375,person,61,1,109,62
000814.jpg,348,500,person,59,63,268,500
000828.jpg,375,500,person,2,178,32,288
000828.jpg,375,500,person,26,174,65,291
000828.jpg,375,500,person,267,93,361,289
000828.jpg,375,500,person,19,146,191,500
000828.jpg,375,500,person,157,89,375,500
000169.jpg,500,333,person,102,3,161,50
000169.jpg,500,333,person,419,39,444,81
000169.jpg,500,333,person,454,36,487,71
000633.jpg,500,375,person,2,22,339,375
000625.jpg,500,375,person,395,209,486,294
000625.jpg,500,375,person,271,214,373,291
000625.jpg,500,375,person,270,274,372,334
000625.jpg,500,375,person,171,204,263,278
000625.jpg,500,375,person,76,194,164,273
000625.jpg,500,375,person,76,273,162,326
000625.jpg,500,375,person,67,82,169,160
000625.jpg,500,375,person,64,16,162,96
000625.jpg,500,375,person,174,17,274,92
000625.jpg,500,375,person,172,85,283,184
000625.jpg,500,375,person,279,21,376,110
000625.jpg,500,375,person,283,94,418,183
000625.jpg,500,375,person,389,88,500,183
000194.jpg,320,224,person,115,19,203,136
000194.jpg,320,224,person,279,77,298,132
000816.jpg,500,500,person,153,122,309,474
000802.jpg,500,375,person,1,145,58,266
000433.jpg,500,370,person,196,56,454,357
000382.jpg,375,500,person,100,265,119,298
000023.jpg,334,500,person,2,1,117,369
000023.jpg,334,500,person,3,2,243,462
000023.jpg,334,500,person,225,1,334,486
000793.jpg,500,375,person,289,100,316,183
000793.jpg,500,375,person,241,111,270,180
000793.jpg,500,375,person,218,107,236,178
000793.jpg,500,375,person,402,67,467,259
000793.jpg,500,375,person,65,110,84,161
000793.jpg,500,375,person,96,107,114,159
000793.jpg,500,375,person,100,78,190,282
000750.jpg,375,500,person,22,2,375,500
000591.jpg,500,333,person,2,192,32,265
000591.jpg,500,333,person,20,185,68,250
000591.jpg,500,333,person,48,190,76,252
000591.jpg,500,333,person,75,191,100,280
000591.jpg,500,333,person,108,179,143,250
000591.jpg,500,333,person,473,199,489,234
000220.jpg,500,375,person,265,147,312,187
000125.jpg,500,375,person,436,188,467,223
000125.jpg,500,375,person,382,209,415,272
000125.jpg,500,375,person,353,213,383,276
000694.jpg,500,375,person,282,151,379,375
000694.jpg,500,375,person,200,132,284,374
000694.jpg,500,375,person,376,160,460,375
000694.jpg,500,375,person,369,130,412,218
000694.jpg,500,375,person,83,167,191,297
000482.jpg,500,334,person,33,103,58,137
000535.jpg,500,374,person,206,55,316,239
000535.jpg,500,374,person,1,67,71,247
000535.jpg,500,374,person,130,92,171,207
000904.jpg,500,375,person,17,113,165,238
000911.jpg,500,324,person,411,142,456,277
000050.jpg,500,375,person,68,96,293,375
000050.jpg,500,375,person,1,71,87,332
000050.jpg,500,375,person,185,68,259,197
000050.jpg,500,375,person,286,64,406,238
000285.jpg,500,375,person,224,77,462,375
000285.jpg,500,375,person,37,97,231,375
000520.jpg,334,500,person,74,79,334,451
000483.jpg,383,480,person,167,44,255,289
000468.jpg,333,500,person,1,143,217,500
000468.jpg,333,500,person,6,191,330,500
000859.jpg,500,333,person,269,23,500,313
000859.jpg,500,333,person,13,56,327,331
000695.jpg,500,375,person,220,40,286,264
000695.jpg,500,375,person,471,94,500,189
000865.jpg,500,375,person,190,102,337,375
000865.jpg,500,375,person,3,129,124,294
000898.jpg,500,375,person,297,195,351,233
000654.jpg,500,333,person,411,51,463,146
